conversation_id,tweet_id,created_at,target_message,conversation_context,intent,label_notes
326403,326404,Sat Oct 07 17:05:46 +0000 2017,@AppleSupport Done,"APPLESUPPORT: @193758 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Done",ios_update,12
346990,789390,Sun Oct 08 00:59:33 +0000 2017,@AppleSupport I tried from his iPhone then a tablet at the sprint store and it kept telling me the same thing,"APPLESUPPORT: @198627  We'd love to look into this with you. Are you using the iPhone to create the Apple ID or are you on a computer?
CUSTOMER: @AppleSupport I tried from his iPhone then a tablet at the sprint store and it kept telling me the same thing",apple_id_account,
361769,361770,Sun Oct 08 17:52:27 +0000 2017,@AppleSupport The latest one. All up to date.,"APPLESUPPORT: @201686 We're here to help. What iOS 11 version are you on?
CUSTOMER: @AppleSupport The latest one. All up to date.",ios_update,
367001,367000,Sun Oct 08 19:12:48 +0000 2017,@AppleSupport It’s accumulated more scratches on the couple of weeks since the screen was replaced than it got in the year before. This glass is not the,CUSTOMER: @AppleSupport It’s accumulated more scratches on the couple of weeks since the screen was replaced than it got in the year before. This glass is not the,service_support,
367962,367961,Sun Oct 08 19:39:57 +0000 2017,@AppleSupport My apps arent showing on my page it’s freezing up but I restarted the phone and it’s better mow,"CUSTOMER: @AppleSupport My apps arent showing on my page it’s freezing up but I restarted the phone and it’s better mow
APPLESUPPORT: @203174 Restarting the iPhone is a great troubleshooting step. If the issue returns, please reach back out to us so we can help.",app_issue,
374795,374794,Mon Oct 09 01:01:02 +0000 2017,@AppleSupport Looks like it working now thanks,"CUSTOMER: @AppleSupport Looks like it working now thanks
APPLESUPPORT: @204871 That's great. Enjoy the rest of your day.",other_unclear,
437424,437425,Tue Oct 10 17:34:43 +0000 2017,"@AppleSupport Thanks, but I've already done all of the battery testing and diagnostics with you over DMs.
My 6S+ battery is fine.
iOS 11 needs a fix ASAP.","APPLESUPPORT: @218882 We can help. Send us a DM and we'll take a closer look at this with you. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Thanks, but I've already done all of the battery testing and diagnostics with you over DMs.
My 6S+ battery is fine.
iOS 11 needs a fix ASAP.",ios_update,
447379,447380,Thu Nov 30 20:16:40 +0000 2017,"@AppleSupport No, it's pretty recent, last month or so. Probably about the time I installed iOS 11. I don't recall downloading any new apps since it started playing up

It's a 12.9"" ipad pro and I'm on iOS 11.1.2","APPLESUPPORT: @220960 Let's get your Apple Pencil charging correctly. Has this always occurred or did it start after changing a setting, installing a new app, etc?

Which iPad model do you have and which exact iOS version number is installed?
CUSTOMER: @AppleSupport No, it's pretty recent, last month or so. Probably about the time I installed iOS 11. I don't recall downloading any new apps since it started playing up

It's a 12.9"" ipad pro and I'm on iOS 11.1.2",ios_update,
460864,460865,Fri Dec 01 02:09:14 +0000 2017,@AppleSupport 11.1.2 - i just got this phone so idk but 55% took an hour plus my phone gets hot on and off the charge. i am connected to the wall jack,"APPLESUPPORT: @224488 We're here to help. Which iOS version do you have? You can check this in Settings &gt; General &gt; About. How long does it take for the iPhone to fully charge? Are you connecting the charger directly to a wall jack?
CUSTOMER: @AppleSupport 11.1.2 - i just got this phone so idk but 55% took an hour plus my phone gets hot on and off the charge. i am connected to the wall jack",battery_power,
520272,520273,Sat Dec 02 02:54:45 +0000 2017,@AppleSupport iPhone SE with IOS 11.1.2. and it doesn’t show anything,"APPLESUPPORT: @240078 Let's take a closer look together to get your iPhone working smoothly. Which model do you have and what's the exact iOS version number installed?

Does anything at all show on your iPhone's screen when it does restart and which country are you located within?
CUSTOMER: @AppleSupport iPhone SE with IOS 11.1.2. and it doesn’t show anything",device_performance,
559167,559168,Sat Dec 02 22:31:03 +0000 2017,@AppleSupport @AppleSupport https://t.co/eGIRKpdnNW,"APPLESUPPORT: @247529 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
CUSTOMER: @AppleSupport @AppleSupport https://t.co/eGIRKpdnNW",other_unclear,
560468,560469,Sun Dec 03 18:05:57 +0000 2017,@AppleSupport @27640 update your phone,"APPLESUPPORT: @251114 We are happy to hear it's fixed. We hope you have a good day today.
CUSTOMER: @AppleSupport @27640 update your phone",app_issue,
561758,561759,Sat Dec 02 23:23:20 +0000 2017,@AppleSupport Actually it seems to have stopped. Will let you know if it returns. Thanks!,"APPLESUPPORT: @123693 Let's see what we can figure out. Does the same thing happen after you restart your device? Let us know in DM. Thanks. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Actually it seems to have stopped. Will let you know if it returns. Thanks!",other_unclear,
583570,583571,Sun Dec 03 18:17:19 +0000 2017,"@AppleSupport Idk, I bought my laptop (no DVD player) in July 2015 new and I have the OS Sierra, Version 10.12.6 installed","APPLESUPPORT: @257640 Thanks for reaching out. What model computer do you have and what version of macOS is installed?
CUSTOMER: @AppleSupport Idk, I bought my laptop (no DVD player) in July 2015 new and I have the OS Sierra, Version 10.12.6 installed",ios_update,
583584,583585,Sun Dec 03 18:31:42 +0000 2017,@AppleSupport  https://t.co/Ftv7tGOpyU,"APPLESUPPORT: @257644 We appreciate you reaching out about this behavior. Let’s team up to see if this is related to the device’s internal storage, as opposed to your iCloud storage. If you go to Settings &gt; General &gt; About, what is listed in the available field?
CUSTOMER: @AppleSupport  https://t.co/Ftv7tGOpyU",other_unclear,
619415,619416,Fri Nov 24 08:53:21 +0000 2017,@AppleSupport installing 11.1.2 helped,"APPLESUPPORT: @266988 We can help. Battery life is very important and let's make sure we're getting the most out of yours. Let us know if this helps: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport installing 11.1.2 helped",ios_update,
627902,627903,Wed Nov 22 15:21:49 +0000 2017,"@AppleSupport I have already done that and get the message ""not enough info to reset security questions"" I live in Ireland and can't call US","APPLESUPPORT: @268714 For the best assistance with your Apple ID, and resetting your security questions, please reach out directly to our Apple ID Advisors here: https://t.co/UJm15vmMM2
CUSTOMER: @AppleSupport I have already done that and get the message ""not enough info to reset security questions"" I live in Ireland and can't call US",apple_id_account,
658721,658722,Thu Oct 05 15:59:22 +0000 2017,@AppleSupport Have since spoken with an advisor although no satisfactory resolution reached #apple #consumerlaw,"APPLESUPPORT: @276834 Please meet us in DM at the link below. We want to review this in more details there. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Have since spoken with an advisor although no satisfactory resolution reached #apple #consumerlaw",service_support,
662786,662785,Wed Nov 15 17:51:41 +0000 2017,@AppleSupport I have a 6+ and the iOS 11.1.1,"CUSTOMER: @AppleSupport I have a 6+ and the iOS 11.1.1
APPLESUPPORT: @277907 Thanks for that info! And do you have any updates in the App Store?
CUSTOMER: @AppleSupport Yep. All of the most recent updates are installed",ios_update,
679924,679925,Thu Oct 05 17:28:06 +0000 2017,@AppleSupport Will report the mailer but what about my hacked system ? I can't erase i changed my apple ID password,"APPLESUPPORT: @282223 Hi! Thanks for reaching out! To learn more about these emails and how to report them check here: https://t.co/LNMCdqbuR3
CUSTOMER: @AppleSupport Will report the mailer but what about my hacked system ? I can't erase i changed my apple ID password",apple_id_account,
738045,738046,Wed Oct 11 14:36:53 +0000 2017,@AppleSupport I have a SE that I bought in October 2016.,"APPLESUPPORT: @296512 Let's work on this together. Can you provide us which device you're using?
CUSTOMER: @AppleSupport I have a SE that I bought in October 2016.",other_unclear,
740982,740983,Wed Oct 11 15:17:52 +0000 2017,@AppleSupport Already fixed it myself,"APPLESUPPORT: @297213 We can help! What's going on with your iPod? Reply in DM to get started.
CUSTOMER: @AppleSupport Already fixed it myself",other_unclear,
769005,769006,Wed Oct 11 23:30:18 +0000 2017,@AppleSupport I just updated it to the software version 11.0.3.,"APPLESUPPORT: @303623 We'd like to look into this with you. What is your current iOS software version? Find it at Settings &gt; General &gt; About.
CUSTOMER: @AppleSupport I just updated it to the software version 11.0.3.",ios_update,
771740,771741,Thu Oct 12 00:21:56 +0000 2017,@AppleSupport It keeps freezing up and closing out apps while I’ve been using them and is a lot slower in general compared to last software.,"APPLESUPPORT: @304326 Please tell us more about what you're experiencing with your iPhone. We're here to help.
CUSTOMER: @AppleSupport It keeps freezing up and closing out apps while I’ve been using them and is a lot slower in general compared to last software.",device_performance,
781849,781850,Tue Oct 10 11:38:39 +0000 2017,"@AppleSupport Why? You only offer the option for me to call you and from what I can tell, all you'll tell me is I should film in the old codecs.","APPLESUPPORT: @306652 Let's get you connected to our Final Cut Pro team. Please use this link to get in contact with them: https://t.co/IBIY3vMgPj
CUSTOMER: @AppleSupport Why? You only offer the option for me to call you and from what I can tell, all you'll tell me is I should film in the old codecs.",service_support,
800371,800372,Thu Oct 12 15:45:19 +0000 2017,@AppleSupport Just did🙄 Y’all are annoying.,"APPLESUPPORT: @310714 Have you updated to iOS 11.0.3 yet? https://t.co/80YRnjDFDk 
Send us a DM and let us know. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Just did🙄 Y’all are annoying.",ios_update,
800379,800378,Thu Oct 12 14:36:35 +0000 2017,@AppleSupport Okay. I Said: @AppleSupport do I have an iPhone X now? https://t.co/S4RII6kvXs,"CUSTOMER: @AppleSupport Okay. I Said: @AppleSupport do I have an iPhone X now? https://t.co/S4RII6kvXs
APPLESUPPORT: @310715 We'd like to look into this a bit more with you. Could you join us in DM to get started? https://t.co/GDrqU22YpT",other_unclear,
841958,841959,Fri Oct 13 12:36:05 +0000 2017,"@AppleSupport No, I am not since my iCloud storage is full","APPLESUPPORT: @320279 We certainly don't expect you to see that happen. We'll be happy to assist. Are you using iCloud Photo Library?
CUSTOMER: @AppleSupport No, I am not since my iCloud storage is full",other_unclear,
845800,845799,Fri Oct 20 10:20:48 +0000 2017,@AppleSupport it’s very slow and glitches a lot !!!!!!,"CUSTOMER: @AppleSupport it’s very slow and glitches a lot !!!!!!
APPLESUPPORT: @321034 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT",device_performance,
848318,848319,Fri Oct 20 12:30:06 +0000 2017,@AppleSupport /2 then as soon as it wakes up it's logged itself back into wifi (and sometimes also bluetooth). I have logged out in both control center,"APPLESUPPORT: @148691 We're happy to help. To be sure we understand, are you wanting to completely disable Wi-Fi? Where are you logging out of Wi-Fi?
CUSTOMER: @AppleSupport /2 then as soon as it wakes up it's logged itself back into wifi (and sometimes also bluetooth). I have logged out in both control center",connectivity,
855448,855449,Fri Oct 13 16:22:42 +0000 2017,"@AppleSupport iOS 11.0.3, and the latest update of whatsapp","APPLESUPPORT: @323165 We can help. If these issues are specific to Whatsapp we would start by checking for updates for both your device and the app.
CUSTOMER: @AppleSupport iOS 11.0.3, and the latest update of whatsapp",app_issue,
865930,865931,Fri Oct 13 16:19:32 +0000 2017,@AppleSupport Family share is not ON in any of my iPhones but it’s still keep asking me wrong Apple ID,"APPLESUPPORT: @285178 We're here to help! To leave Family Sharing, see this link for the steps: https://t.co/w27GZNA8FX
CUSTOMER: @AppleSupport Family share is not ON in any of my iPhones but it’s still keep asking me wrong Apple ID",apple_id_account,
876727,876728,Tue Oct 10 06:31:35 +0000 2017,"@AppleSupport Not referring to my special issue, but to the reports all over the web. Many people are having lots of issues (with cars, peripherals, etc.)","APPLESUPPORT: @328147 We're happy to help. What issue are you experiencing with bluetooth specifically?
CUSTOMER: @AppleSupport Not referring to my special issue, but to the reports all over the web. Many people are having lots of issues (with cars, peripherals, etc.)",connectivity,
885795,885796,Tue Oct 10 01:52:44 +0000 2017,@AppleSupport Nah it’s fine I just bought a new phone bc I know deep down that’s what you wanted.,"APPLESUPPORT: @330328 We'd be happy to help. Send us a DM with a few details and we can get started. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Nah it’s fine I just bought a new phone bc I know deep down that’s what you wanted.",other_unclear,
887147,887148,Fri Oct 20 23:34:01 +0000 2017,@AppleSupport I’ll talk to the goddamn dorks at your stupid fuckin store.,"APPLESUPPORT: @330641 Let's look at that together. Is this affecting SMS, iMessage, or both? Are you on cellular or Wi-Fi, and what is happening?
CUSTOMER: @AppleSupport I’ll talk to the goddamn dorks at your stupid fuckin store.",service_support,
889046,889045,Sat Nov 25 14:37:53 +0000 2017,@AppleSupport Whenever I type it freezes and and responds really slow!,"CUSTOMER: @AppleSupport Whenever I type it freezes and and responds really slow!
APPLESUPPORT: @331071 Got it. Thanks for confirming that for us. Do you experience this with every use or specific apps?
CUSTOMER: @AppleSupport Mostly messages
APPLESUPPORT: @331071 Got it. Since you're experiencing this issue with the Messages app, does it happen with iMessage, SMS or both?
CUSTOMER: @AppleSupport Both!
APPLESUPPORT: @331071 Got it. Can you provide us details of the issues you're experiencing with the Messages app?
CUSTOMER: @AppleSupport Its responding really slow when I type
APPLESUPPORT: @331071 What steps have you tried so far to resolve this?",app_issue,
917152,917153,Tue Oct 10 18:17:21 +0000 2017,@AppleSupport I FIXED IT!! i apologize for the angry tweet 😅,"APPLESUPPORT: @337738 We'll help get your music back. Are you running iOS 11.0.2 currently? Is iCloud Music Library enabled at Settings &gt; Music?
CUSTOMER: @AppleSupport I FIXED IT!! i apologize for the angry tweet 😅",other_unclear,
938066,938065,Sat Oct 21 14:30:03 +0000 2017,"@AppleSupport The job no JPR22081761324 evn @116333 didn't repnd 2 my dad's mail hrrible customer care #cheaterapple 
@123288 pls help my dad","CUSTOMER: @AppleSupport The job no JPR22081761324 evn @116333 didn't repnd 2 my dad's mail hrrible customer care #cheaterapple 
@123288 pls help my dad
APPLESUPPORT: @342356 Please send us a DM with full details on the exact issue you have run into, so we may better assist you. https://t.co/GDrqU22YpT",other_unclear,
946709,946710,Sat Oct 21 19:53:07 +0000 2017,@AppleSupport Yep I know even showed my brother the keynote about the HomePod he doesn’t think it will be good for movies surround sound!,"APPLESUPPORT: @344493 We're excited about HomePod, and we're glad to help. Learn more about HomePod here: https://t.co/LlN3EMs8mp
CUSTOMER: @AppleSupport Yep I know even showed my brother the keynote about the HomePod he doesn’t think it will be good for movies surround sound!",other_unclear,
954432,954433,Sat Oct 14 02:06:44 +0000 2017,@AppleSupport *headphones,"APPLESUPPORT: @346472 Help is here! Tell us more about your sound. Did it stop on a call or while listening to music or videos?
CUSTOMER: @AppleSupport *headphones",audio_call_issue,
971697,971698,Wed Oct 11 17:55:16 +0000 2017,@AppleSupport iPhone 7 and yes I am,"APPLESUPPORT: @350511 Thanks for reaching out to us. Which model iPhone are you using? Are you updated to the latest version of iOS 11.0.2?
CUSTOMER: @AppleSupport iPhone 7 and yes I am",other_unclear,
983014,983015,Sun Oct 22 14:57:05 +0000 2017,@AppleSupport Thankyou and 10.3.3,"APPLESUPPORT: @345742 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.
CUSTOMER: @AppleSupport Thankyou and 10.3.3",ios_update,
998364,998365,Sat Oct 14 12:27:26 +0000 2017,@AppleSupport MacBook Pro 2016. Sierra latest version. Create a Network used to provide a password option. No longer. The temp network is now insecure.,"APPLESUPPORT: @356406 We'd be happy to look into this with you. Can you provide us which device you're using?
CUSTOMER: @AppleSupport MacBook Pro 2016. Sierra latest version. Create a Network used to provide a password option. No longer. The temp network is now insecure.",connectivity,
1013010,1013011,Sat Oct 14 14:49:25 +0000 2017,@AppleSupport I'm waiting.,"APPLESUPPORT: @359710 We've gotten your DMs and will continue working with you there. Be on the look out for our response.
CUSTOMER: @AppleSupport I'm waiting.",service_support,
1017838,1017839,Fri Oct 13 00:52:38 +0000 2017,@AppleSupport I will DM you the transcript of my convo with P.,"APPLESUPPORT: @360824 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport I will DM you the transcript of my convo with P.",service_support,
1018831,1018832,Sun Oct 22 22:14:09 +0000 2017,@AppleSupport 11.0.3,"APPLESUPPORT: @361071 We want to help with your iPhone SE today. Which update are you using according to Settings &gt; General &gt; About?
CUSTOMER: @AppleSupport 11.0.3",ios_update,
1068879,1068880,Mon Oct 23 15:42:56 +0000 2017,@AppleSupport I was told they want to take my phone and run diagnostics,"APPLESUPPORT: @372238 Hey there. You've come to the right place! What can we help you with?
CUSTOMER: @AppleSupport I was told they want to take my phone and run diagnostics",service_support,
1078530,1078531,Tue Oct 24 01:17:39 +0000 2017,"@AppleSupport Working better after restart, which is weird I've restarted it before and the issue still occurred. Thanks for the help!","APPLESUPPORT: @374419 Which iOS version is your device running? Tap on Settings &gt; General &gt; About. Have you tried restarting your device?
CUSTOMER: @AppleSupport Working better after restart, which is weird I've restarted it before and the issue still occurred. Thanks for the help!",other_unclear,
1120617,1120618,Sun Oct 15 16:48:35 +0000 2017,@AppleSupport iphone 8+,"APPLESUPPORT: @349567 We want your iPhone to work as expected, including the audio. Which one do you have?
CUSTOMER: @AppleSupport iphone 8+",audio_call_issue,
1133715,1133716,Mon Oct 16 19:08:03 +0000 2017,@AppleSupport I am using my Iphone itself,"APPLESUPPORT: @387135 We want you update to go smoothly. Are you updating from the iPhone itself or by using iTunes on a computer?
CUSTOMER: @AppleSupport I am using my Iphone itself",ios_update,
1153403,1153404,Sun Oct 15 17:54:38 +0000 2017,@AppleSupport No it does not.,"APPLESUPPORT: @391382 We're here to help. If you connect your iPhone to charge, does the charging icon show on the display?
CUSTOMER: @AppleSupport No it does not.",battery_power,
1166718,1166719,Sat Oct 28 13:06:57 +0000 2017,@AppleSupport It’s done already ... but still no improvement,"APPLESUPPORT: @304120 We know how vital the battery is and we'll help. Have you tried these steps? https://t.co/TpjqFp3jxD
CUSTOMER: @AppleSupport It’s done already ... but still no improvement",battery_power,
1176313,1176314,Wed Oct 25 07:00:33 +0000 2017,"@AppleSupport 11.0.1 like all the others experiencing the misery caused by this update. Thx for replying, though.","APPLESUPPORT: @174152 If you are having issues with your iPhone 7, we'd like to help. Could you let us know which version of iOS you have installed?
CUSTOMER: @AppleSupport 11.0.1 like all the others experiencing the misery caused by this update. Thx for replying, though.",ios_update,
1177181,1177180,Tue Oct 24 23:19:13 +0000 2017,"@AppleSupport Restarted, re-seated my SIM card, checked for carrier update. Nothing. It's a 7 Plus on Verizon iOS 11.0.3","CUSTOMER: @AppleSupport Restarted, re-seated my SIM card, checked for carrier update. Nothing. It's a 7 Plus on Verizon iOS 11.0.3
APPLESUPPORT: @396888 Let's take a look at the steps in here, skipping over the ones you've tried already: https://t.co/5KootZbxj1 DM us after: https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Verizon fixed it.
APPLESUPPORT: @396888 That's great to hear they helped you fix it! Just reach out if you need help again and have a good one.",ios_update,
1187119,1187120,Wed Oct 25 00:51:59 +0000 2017,"@AppleSupport Was unable to set up appointment after 40+ minutes of glacial twitter DM’ing with @AppleSupport Please, Please fix your website.  😢","APPLESUPPORT: @399149 We can help. DM us and let us know the reason for your reservation. We'll help you get this set up.
CUSTOMER: @AppleSupport Was unable to set up appointment after 40+ minutes of glacial twitter DM’ing with @AppleSupport Please, Please fix your website.  😢",service_support,
1217541,1217542,Wed Oct 25 14:32:28 +0000 2017,"@AppleSupport Calls are fine its music, voice notes, playing videos and even just typing but during calls my sound seems to work","APPLESUPPORT: @405696 Let's sort this out together. Do you notice this during calls, when playing music, or at another time?
CUSTOMER: @AppleSupport Calls are fine its music, voice notes, playing videos and even just typing but during calls my sound seems to work",audio_call_issue,
1219212,1219213,Wed Oct 25 15:08:27 +0000 2017,"@AppleSupport Yes, all WiFi networks and I have restarted several times, seems to only fix the issue temporarily.","APPLESUPPORT: @290309 We can definitely look into this with you. Are you experiencing this behavior with all Wi-Fi networks? Have you restarted yet?
CUSTOMER: @AppleSupport Yes, all WiFi networks and I have restarted several times, seems to only fix the issue temporarily.",connectivity,
